id,lat,lon,category,geometry,address,geom,address_list,region,city,clusters
2104,40.55564032,-5.67162062,B,POINT (-5.67162062 40.55564032),"Hogar de los Jubilados, Calle Chinarral, Guijuelo, Salamanca, Castilla y León, 37770, España","('40.55564032', '-5.67162062')","['Hogar de los Jubilados', 'Calle Chinarral', 'Guijuelo', 'Salamanca', 'Castilla y León', '37770', 'España']",Castilla y León,Salamanca,11
2105,42.43158576,-8.643672092,B,POINT (-8.643672092 42.43158576),"Praza da Estrela, Casco Antigo, Pontevedra, Galicia, España","('42.43158576', '-8.643672092')","['Praza da Estrela', 'Casco Antigo', 'Pontevedra', 'Galicia', 'España']",Pontevedra,Casco Antigo,5
2106,37.12022462,-5.44898927,B,POINT (-5.44898927 37.12022462),"Castillo de Morón, Vereda del Castillo, Morón de la Frontera, Sevilla, Andalucía, España","('37.12022462', '-5.44898927')","['Castillo de Morón', 'Vereda del Castillo', 'Morón de la Frontera', 'Sevilla', 'Andalucía', 'España']",Sevilla,Morón de la Frontera,pending
2107,40.36633215,-3.48827482,B,POINT (-3.48827482 40.36633215),"Calle de la Iglesia, Velilla de San Antonio, Cuenca del Henares, Comunidad de Madrid, 28891, España","('40.36633215', '-3.48827482')","['Calle de la Iglesia', 'Velilla de San Antonio', 'Cuenca del Henares', 'Comunidad de Madrid', '28891', 'España']",Comunidad de Madrid,Cuenca del Henares,9
2108,40.30403754,-3.72935236,B,POINT (-3.72935236 40.30403754),"Iglesia Catedral Santa María Magdalena, Plaza de la Magdalena, Getafe, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28901, España","('40.30403754', '-3.72935236')","['Iglesia Catedral Santa María Magdalena', 'Plaza de la Magdalena', 'Getafe', 'Área metropolitana de Madrid y Corredor del Henares', 'Comunidad de Madrid', '28901', 'España']",Comunidad de Madrid,Área metropolitana de Madrid y Corredor del Henares,4
2109,41.93841117,-7.437282661,B,POINT (-7.437282661 41.93841117),"Concello de Verín, Praza do Concello, Verín, Ourense, Galicia, 32600, España","('41.93841117', '-7.437282661')","['Concello de Verín', 'Praza do Concello', 'Verín', 'Ourense', 'Galicia', '32600', 'España']",Galicia,Ourense,pending
2110,38.26741662,-0.69775581,B,POINT (-0.69775581 38.26741662),"2AC, plaça del Congrés Eucarístic, Pisos Blaus, la Vila, Elx / Elche, el Baix Vinalopó, Alacant / Alicante, Comunitat Valenciana, 03201, España","('38.26741662', '-0.69775581')","['2AC', 'plaça del Congrés Eucarístic', 'Pisos Blaus', 'la Vila', 'Elx / Elche', 'el Baix Vinalopó', 'Alacant / Alicante', 'Comunitat Valenciana', '03201', 'España']",Comunitat Valenciana,Alacant / Alicante,6
2111,38.26741662,-0.69775581,B,POINT (-0.69775581 38.26741662),"2AC, plaça del Congrés Eucarístic, Pisos Blaus, la Vila, Elx / Elche, el Baix Vinalopó, Alacant / Alicante, Comunitat Valenciana, 03201, España","('38.26741662', '-0.69775581')","['2AC', 'plaça del Congrés Eucarístic', 'Pisos Blaus', 'la Vila', 'Elx / Elche', 'el Baix Vinalopó', 'Alacant / Alicante', 'Comunitat Valenciana', '03201', 'España']",Comunitat Valenciana,Alacant / Alicante,6
2112,40.46865575,-4.11993315,B,POINT (-4.11993315 40.46865575),"Iglesia Parroquial Nuestra Señora de la Estrella, Calle El Parque, Navalagamella, Sierra Oeste, Comunidad de Madrid, 28212, España","('40.46865575', '-4.11993315')","['Iglesia Parroquial Nuestra Señora de la Estrella', 'Calle El Parque', 'Navalagamella', 'Sierra Oeste', 'Comunidad de Madrid', '28212', 'España']",Comunidad de Madrid,Sierra Oeste,11
2113,42.98633333,-4.147305556,B,POINT (-4.147305556 42.98633333),"Centro Empresarial Rio Híjar, 16, Calle de García del Olmo, Matamorosa, Campoo de Enmedio, Campoo-Los Valles, Cantabria, 39200, España","('42.98633333', '-4.147305556')","['Centro Empresarial Rio Híjar', '16', 'Calle de García del Olmo', 'Matamorosa', 'Campoo de Enmedio', 'Campoo-Los Valles', 'Cantabria', '39200', 'España']",Cantabria,Campoo-Los Valles,0
