id,lat,lon,category,geometry,address,geom,address_list,region,city
1647,35.88810209,-5.30675127,B,POINT (-5.30675127 35.88810209),"Centro Global 2, Calle Isabel Cabral, La Salud, Ceuta, 51001, España","('35.88810209', '-5.30675127')","['Centro Global 2', 'Calle Isabel Cabral', 'La Salud', 'Ceuta', '51001', 'España']",Ceuta,La Salud
1648,43.38033648,-2.98329187,B,POINT (-2.98329187 43.38033648),"San Pedro, Akilino Arriola Kalea, Manene, Sopelana, Andraka, Bizkaia, Euskadi, 48620, España","('43.38033648', '-2.98329187')","['San Pedro', 'Akilino Arriola Kalea', 'Manene', 'Sopelana', 'Andraka', 'Bizkaia', 'Euskadi', '48620', 'España']",Euskadi,Bizkaia
1649,42.14062739,-0.40842276,B,POINT (-0.40842276 42.14062739),"Iglesia Catedral de la Transfiguración del Señor, Plaza de la Catedral, La Catedral, Casco Antiguo, Huesca, Hoya de Huesca / Plana de Uesca, Huesca, Aragón, 22002, España","('42.14062739', '-0.40842276')","['Iglesia Catedral de la Transfiguración del Señor', 'Plaza de la Catedral', 'La Catedral', 'Casco Antiguo', 'Huesca', 'Hoya de Huesca / Plana de Uesca', 'Huesca', 'Aragón', '22002', 'España']",Aragón,Huesca
1650,38.91173101,-0.54678215,B,POINT (-0.54678215 38.91173101),"Ajuntament, 2, Carrer Sant Tomàs, l'Olleria, la Vall d'Albaida, València / Valencia, Comunitat Valenciana, 46850, España","('38.91173101', '-0.54678215')","['Ajuntament', '2', 'Carrer Sant Tomàs', ""l'Olleria"", ""la Vall d'Albaida"", 'València / Valencia', 'Comunitat Valenciana', '46850', 'España']",Comunitat Valenciana,València / Valencia
1651,43.13829669,-2.07170336,B,POINT (-2.07170336 43.13829669),"1, Andre Mari plaza, Alde Zaharra, Tolosa, Tolosaldea, Gipuzkoa, Euskadi, 20400, España","('43.13829669', '-2.07170336')","['1', 'Andre Mari plaza', 'Alde Zaharra', 'Tolosa', 'Tolosaldea', 'Gipuzkoa', 'Euskadi', '20400', 'España']",Euskadi,Gipuzkoa
1652,43.24800486,-1.99058553,B,POINT (-1.99058553 43.24800486),"Mikel Deuna eliza, 0a, San Juan kalea, Urnieta, Donostialdea, Gipuzkoa, Euskadi, 20130, España","('43.24800486', '-1.99058553')","['Mikel Deuna eliza', '0a', 'San Juan kalea', 'Urnieta', 'Donostialdea', 'Gipuzkoa', 'Euskadi', '20130', 'España']",Euskadi,Gipuzkoa
1653,39.50273688,-0.44257379,B,POINT (-0.44257379 39.50273688),"Calle Teniente Alfonso, Alborgí, Lloma Llarga, Paterna, l'Horta Oest, València / Valencia, Comunitat Valenciana, 46988, España","('39.50273688', '-0.44257379')","['Calle Teniente Alfonso', 'Alborgí', 'Lloma Llarga', 'Paterna', ""l'Horta Oest"", 'València / Valencia', 'Comunitat Valenciana', '46988', 'España']",Comunitat Valenciana,València / Valencia
1654,43.1962765,-3.19266525,B,POINT (-3.19266525 43.1962765),"Iglesia de San Severino, San Severino Plaza, Balmaseda, Bizkaia, Euskadi, 48800, España","('43.1962765', '-3.19266525')","['Iglesia de San Severino', 'San Severino Plaza', 'Balmaseda', 'Bizkaia', 'Euskadi', '48800', 'España']",Euskadi,Bizkaia
1655,36.74574584,-3.52123441,B,POINT (-3.52123441 36.74574584),"Iglesia Parroquial de Nuestra Señora de la Encarnación, Calle Pieza, Motril, Comarca de la Costa Granadina, Granada, Andalucía, 18600, España","('36.74574584', '-3.52123441')","['Iglesia Parroquial de Nuestra Señora de la Encarnación', 'Calle Pieza', 'Motril', 'Comarca de la Costa Granadina', 'Granada', 'Andalucía', '18600', 'España']",Andalucía,Granada
1656,41.38424664,2.17634927,B,POINT (2.17634927 41.38424664),"Catedral de la Santa Creu i Santa Eulàlia, Carrer dels Comtes, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","('41.38424664', '2.17634927')","['Catedral de la Santa Creu i Santa Eulàlia', 'Carrer dels Comtes', 'el Gòtic', 'Ciutat Vella', 'Barcelona', 'Barcelonès', 'Barcelona', 'Catalunya', '08001', 'España']",Catalunya,Barcelona
